date,n_orders,month_sin,month_cos,week_sin,week_cos,is_black_friday,is_december,is_peak_season,orders_x_bf,orders_x_peak,revenue
2017-01-02,0,0.49999999999999994,0.8660254037844387,0.1182731709213658,0.9929810960135169,0,0,0,0,0,0.0
2017-01-09,49,0.49999999999999994,0.8660254037844387,0.23488604578098368,0.9720229140804107,0,0,0,0,0,4425.900000000001
2017-01-16,86,0.49999999999999994,0.8660254037844387,0.34820163543439875,0.9374196611341209,0,0,0,0,0,15472.33
2017-01-23,207,0.49999999999999994,0.8660254037844387,0.4566292373937131,0.8896570909947473,0,0,0,0,0,30762.83
2017-01-30,344,0.49999999999999994,0.8660254037844387,0.5586467658036525,0.8294056854502019,0,0,0,0,0,65003.15
2017-02-06,462,0.8660254037844386,0.5000000000000001,0.6528221181905216,0.7575112421616201,0,0,0,0,0,77985.86
2017-02-13,507,0.8660254037844386,0.5000000000000001,0.7378332790417274,0.6749830015182106,0,0,0,0,0,88372.89
2017-02-20,364,0.8660254037844386,0.5000000000000001,0.8124868780056813,0.5829794791144721,0,0,0,0,0,55958.75
2017-02-27,331,0.8660254037844386,0.5000000000000001,0.8757349421956369,0.48279220273074486,0,0,0,0,0,48747.57
2017-03-06,514,1.0,6.123233995736766e-17,0.9266896074318334,0.3758275821142382,0,0,0,0,0,81400.25
2017-03-13,558,1.0,6.123233995736766e-17,0.9646355819083586,0.2635871660690678,0,0,0,0,0,93337.32
2017-03-20,600,1.0,6.123233995736766e-17,0.9890401873221639,0.14764656400248127,0,0,0,0,0,107279.79
2017-03-27,618,1.0,6.123233995736766e-17,0.9995608365087943,0.029633327822559667,0,0,0,0,0,96232.69
2017-04-03,507,0.8660254037844387,-0.4999999999999998,0.9960498426152169,-0.08879589532293478,0,0,0,0,0,87685.35
2017-04-10,579,0.8660254037844387,-0.4999999999999998,0.978556492299504,-0.20597861874109827,0,0,0,0,0,101620.65
2017-04-17,395,0.8660254037844387,-0.4999999999999998,0.9473263538541914,-0.32026985386283763,0,0,0,0,0,60390.78
2017-04-24,597,0.8660254037844387,-0.4999999999999998,0.9027978299657434,-0.43006520227652056,0,0,0,0,0,103150.58
2017-05-01,645,0.49999999999999994,-0.8660254037844387,0.8455960035018261,-0.5338233779647907,0,0,0,0,0,99961.54
2017-05-08,759,0.49999999999999994,-0.8660254037844387,0.7765238627180424,-0.630087843581711,0,0,0,0,0,117666.66
2017-05-15,782,0.49999999999999994,-0.8660254037844387,0.6965510290629972,-0.717507257044331,0,0,0,0,0,128417.77
2017-05-22,912,0.49999999999999994,-0.8660254037844387,0.6068001458185932,-0.7948544414133534,0,0,0,0,0,146215.49
2017-05-29,766,0.49999999999999994,-0.8660254037844387,0.5085311186492207,-0.8610436117673553,0,0,0,0,0,122953.82
2017-06-05,791,1.2246467991473532e-16,-1.0,0.4031234292879726,-0.9151456172430182,0,0,0,0,0,134323.27
2017-06-12,793,1.2246467991473532e-16,-1.0,0.29205677063697594,-0.9564009842765224,0,0,0,0,0,114153.44
2017-06-19,757,1.2246467991473532e-16,-1.0,0.17689027512257316,-0.9842305779475968,0,0,0,0,0,123507.2
2017-06-26,550,1.2246467991473532e-16,-1.0,0.05924062789371414,-0.9982437317643215,0,0,0,0,0,90328.22
2017-07-03,750,-0.4999999999999997,-0.8660254037844388,-0.05924062789371389,-0.9982437317643215,0,0,0,0,0,109804.25
2017-07-10,823,-0.4999999999999997,-0.8660254037844388,-0.1768902751225729,-0.9842305779475968,0,0,0,0,0,123497.42
2017-07-17,948,-0.4999999999999997,-0.8660254037844388,-0.29205677063697566,-0.9564009842765224,0,0,0,0,0,136990.29
2017-07-24,932,-0.4999999999999997,-0.8660254037844388,-0.403123429287972,-0.9151456172430186,0,0,0,0,0,135358.53
2017-07-31,879,-0.4999999999999997,-0.8660254037844388,-0.5085311186492202,-0.8610436117673557,0,0,0,0,0,126061.3
